Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1961,1961,No,5514000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1962,1962,No,5506000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1963,1963,No,5528000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1964,1964,No,5601000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1965,1965,No,4718000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1966,1966,No,4646000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1967,1967,No,4635000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1968,1968,No,4539000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1969,1969,No,4433000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1970,1970,No,4634000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1971,1971,No,4107000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1972,1972,No,4085000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1973,1973,No,4124000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1974,1974,No,4210000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1975,1975,No,4206000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1976,1976,No,4269000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1977,1977,No,4323000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1978,1978,No,4090000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1979,1979,No,4163000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1980,1980,No,4141000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1981,1981,No,4213000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1982,1982,No,4250000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1983,1983,No,4275000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1984,1984,No,4300000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1985,1985,No,4325000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1986,1986,No,3205000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1987,1987,No,3190000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1988,1988,No,3219000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1989,1989,No,3443000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1990,1990,No,3210000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1991,1991,No,3181000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1992,1992,No,3030000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1993,1993,No,2880000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1994,1994,No,2770000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1995,1995,No,2648000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1996,1996,No,2566000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1997,1997,No,2631000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1998,1998,No,2633000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,1999,1999,No,2688000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,2000,2000,No,2620000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,2001,2001,No,2513000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,2002,2002,No,2574000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,2003,2003,No,2590000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,2004,2004,No,2556000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,2005,2005,No,2413000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,2006,2006,No,2392000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,2007,2007,No,2301000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,2008,2008,No,2342000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,2009,2009,No,2498000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,2010,2010,No,2692000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,2011,2011,No,2491000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,2012,2012,No,2539000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,2013,2013,No,2640000,,Official data
QA,Live Animals,231,United States of America,5114,Stocks,1181,Beehives,2014,2014,No,2740000,,Official data
,,,,,,,,2015,,,,,
,,,,,,,,2016,,,,,
,,,,,,,,2017,,,,,
,,,,,,,,2018,,,,,
,,,,,,,,2019,,,,,
,,,,,,,,2020,,,,,
,,,,,,,,2021,,,,,
,,,,,,,,2022,,,,,
,,,,,,,,2023,,,,,
,,,,,,,,2024,,,,,
,,,,,,,,2025,,,,,
,,,,,,,,2026,,,,,
,,,,,,,,2027,,,,,
,,,,,,,,2028,,,,,
,,,,,,,,2029,,,,,
,,,,,,,,2030,,,,,
,,,,,,,,2031,,,,,
,,,,,,,,2032,,,,,
,,,,,,,,2033,,,,,
,,,,,,,,2034,,,,,
,,,,,,,,2035,,,,,
,,,,,,,,2036,,,,,
,,,,,,,,2037,,,,,
,,,,,,,,2038,,,,,
,,,,,,,,2039,,,,,
,,,,,,,,2040,,,,,
,,,,,,,,2041,,,,,
,,,,,,,,2042,,,,,
,,,,,,,,2043,,,,,
,,,,,,,,2044,,,,,
,,,,,,,,2045,,,,,
,,,,,,,,2046,,,,,
,,,,,,,,2047,,,,,
,,,,,,,,2048,,,,,
,,,,,,,,2049,,,,,
,,,,,,,,2050,,,,,
,,,,,,,,2051,,,,,
,,,,,,,,2052,,,,,
,,,,,,,,2053,,,,,
,,,,,,,,2054,,,,,
,,,,,,,,2055,,,,,
,,,,,,,,2056,,,,,
,,,,,,,,2057,,,,,
,,,,,,,,2058,,,,,
,,,,,,,,2059,,,,,
,,,,,,,,2060,,,,,
,,,,,,,,2061,,,,,
,,,,,,,,2062,,,,,
,,,,,,,,2063,,,,,
,,,,,,,,2064,,,,,
,,,,,,,,2065,,,,,
,,,,,,,,2066,,,,,
,,,,,,,,2067,,,,,
,,,,,,,,2068,,,,,
,,,,,,,,2069,,,,,
,,,,,,,,2070,,,,,
,,,,,,,,2071,,,,,
,,,,,,,,2072,,,,,
,,,,,,,,2073,,,,,
,,,,,,,,2074,,,,,
,,,,,,,,2075,,,,,
,,,,,,,,2076,,,,,
,,,,,,,,2077,,,,,
,,,,,,,,2078,,,,,
,,,,,,,,2079,,,,,
,,,,,,,,2080,,,,,
,,,,,,,,2081,,,,,
,,,,,,,,2082,,,,,
,,,,,,,,2083,,,,,
,,,,,,,,2084,,,,,
,,,,,,,,2085,,,,,
,,,,,,,,2086,,,,,
,,,,,,,,2087,,,,,
,,,,,,,,2088,,,,,
,,,,,,,,2089,,,,,
,,,,,,,,2090,,,,,
,,,,,,,,2091,,,,,
,,,,,,,,2092,,,,,
,,,,,,,,2093,,,,,
,,,,,,,,2094,,,,,
,,,,,,,,2095,,,,,
,,,,,,,,2096,,,,,
,,,,,,,,2097,,,,,
,,,,,,,,2098,,,,,
,,,,,,,,2099,,,,,
,,,,,,,,2100,,,,,
,,,,,,,,2101,,,,,
,,,,,,,,2102,,,,,
,,,,,,,,2103,,,,,
,,,,,,,,2104,,,,,
,,,,,,,,2105,,,,,
,,,,,,,,2106,,,,,
,,,,,,,,2107,,,,,
,,,,,,,,2108,,,,,
,,,,,,,,2109,,,,,
,,,,,,,,2110,,,,,
,,,,,,,,2111,,,,,
,,,,,,,,2112,,,,,
,,,,,,,,2113,,,,,
,,,,,,,,2114,,,,,
,,,,,,,,2115,,,,,
,,,,,,,,2116,,,,,
,,,,,,,,2117,,,,,
,,,,,,,,2118,,,,,
,,,,,,,,2119,,,,,
,,,,,,,,2120,,,,,
,,,,,,,,2121,,,,,
,,,,,,,,2122,,,,,
,,,,,,,,2123,,,,,
,,,,,,,,2124,,,,,
,,,,,,,,2125,,,,,
,,,,,,,,2126,,,,,
,,,,,,,,2127,,,,,
,,,,,,,,2128,,,,,
,,,,,,,,2129,,,,,
,,,,,,,,2130,,,,,
,,,,,,,,2131,,,,,
,,,,,,,,2132,,,,,
,,,,,,,,2133,,,,,
,,,,,,,,2134,,,,,
,,,,,,,,2135,,,,,
,,,,,,,,2136,,,,,
,,,,,,,,2137,,,,,
,,,,,,,,2138,,,,,
,,,,,,,,2139,,,,,
,,,,,,,,2140,,,,,
,,,,,,,,2141,,,,,
,,,,,,,,2142,,,,,
,,,,,,,,2143,,,,,
,,,,,,,,2144,,,,,
,,,,,,,,2145,,,,,
,,,,,,,,2146,,,,,
,,,,,,,,2147,,,,,
,,,,,,,,2148,,,,,
,,,,,,,,2149,,,,,
,,,,,,,,2150,,,,,
,,,,,,,,2151,,,,,
,,,,,,,,2152,,,,,
,,,,,,,,2153,,,,,
,,,,,,,,2154,,,,,
,,,,,,,,2155,,,,,
,,,,,,,,2156,,,,,
,,,,,,,,2157,,,,,
,,,,,,,,2158,,,,,
,,,,,,,,2159,,,,,
,,,,,,,,2160,,,,,
,,,,,,,,2161,,,,,
,,,,,,,,2162,,,,,
,,,,,,,,2163,,,,,
,,,,,,,,2164,,,,,
,,,,,,,,2165,,,,,
,,,,,,,,2166,,,,,
,,,,,,,,2167,,,,,
,,,,,,,,2168,,,,,
,,,,,,,,2169,,,,,
,,,,,,,,2170,,,,,
,,,,,,,,2171,,,,,
,,,,,,,,2172,,,,,
,,,,,,,,2173,,,,,
,,,,,,,,2174,,,,,
,,,,,,,,2175,,,,,
,,,,,,,,2176,,,,,
,,,,,,,,2177,,,,,
,,,,,,,,2178,,,,,
,,,,,,,,2179,,,,,
,,,,,,,,2180,,,,,
,,,,,,,,2181,,,,,
,,,,,,,,2182,,,,,
,,,,,,,,2183,,,,,
,,,,,,,,2184,,,,,
,,,,,,,,2185,,,,,
,,,,,,,,2186,,,,,
,,,,,,,,2187,,,,,
,,,,,,,,2188,,,,,
,,,,,,,,2189,,,,,
,,,,,,,,2190,,,,,
,,,,,,,,2191,,,,,
,,,,,,,,2192,,,,,
,,,,,,,,2193,,,,,
,,,,,,,,2194,,,,,
,,,,,,,,2195,,,,,
,,,,,,,,2196,,,,,
,,,,,,,,2197,,,,,
,,,,,,,,2198,,,,,
,,,,,,,,2199,,,,,
,,,,,,,,2200,,,,,
